уч#TYPE System.ServiceProcess.ServiceController
"Name","RequiredServices","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","ServiceHandle","Status","ServiceType","StartType","Site","Container"
"EapHost","System.ServiceProcess.ServiceController[]","False","True","True","Extensible Authentication Protocol","System.ServiceProcess.ServiceController[]",".","EapHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"edgeupdate","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdate)","System.ServiceProcess.ServiceController[]",".","edgeupdate","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"edgeupdatem","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Update Service (edgeupdatem)","System.ServiceProcess.ServiceController[]",".","edgeupdatem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"EFS","System.ServiceProcess.ServiceController[]","False","False","False","Encrypting File System (EFS)","System.ServiceProcess.ServiceController[]",".","EFS","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Manual",,
"embeddedmode","System.ServiceProcess.ServiceController[]","False","False","False","Embedded Mode","System.ServiceProcess.ServiceController[]",".","embeddedmode","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EntAppSvc","System.ServiceProcess.ServiceController[]","False","False","False","Enterprise App Management Service","System.ServiceProcess.ServiceController[]",".","EntAppSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"EventLog","System.ServiceProcess.ServiceController[]","False","True","True","Windows Event Log","System.ServiceProcess.ServiceController[]",".","EventLog","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"EventSystem","System.ServiceProcess.ServiceController[]","False","False","True","COM+ Event System","System.ServiceProcess.ServiceController[]",".","EventSystem","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"fdPHost","System.ServiceProcess.ServiceController[]","False","False","False","Function Discovery Provider Host","System.ServiceProcess.ServiceController[]",".","fdPHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"FDResPub","System.ServiceProcess.ServiceController[]","False","False","False","Function Discovery Resource Publication","System.ServiceProcess.ServiceController[]",".","FDResPub","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"fhsvc","System.ServiceProcess.ServiceController[]","False","False","False","File History Service","System.ServiceProcess.ServiceController[]",".","fhsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"FontCache","System.ServiceProcess.ServiceController[]","False","True","True","Windows Font Cache Service","System.ServiceProcess.ServiceController[]",".","FontCache","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"FrameServer","System.ServiceProcess.ServiceController[]","False","True","True","Windows Camera Frame Server","System.ServiceProcess.ServiceController[]",".","FrameServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"FrameServerMonitor","System.ServiceProcess.ServiceController[]","False","False","False","Windows Camera Frame Server Monitor","System.ServiceProcess.ServiceController[]",".","FrameServerMonitor","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"GameInputSvc","System.ServiceProcess.ServiceController[]","False","False","False","GameInput Service","System.ServiceProcess.ServiceController[]",".","GameInputSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"gpsvc","System.ServiceProcess.ServiceController[]","False","False","True","Group Policy Client","System.ServiceProcess.ServiceController[]",".","gpsvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","False","False","False","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]",".","GraphicsPerfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"hidserv","System.ServiceProcess.ServiceController[]","False","True","True","Human Interface Device Service","System.ServiceProcess.ServiceController[]",".","hidserv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"hpatchmon","System.ServiceProcess.ServiceController[]","False","False","False","Hotpatch Monitoring Service","System.ServiceProcess.ServiceController[]",".","hpatchmon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"HvHost","System.ServiceProcess.ServiceController[]","False","True","True","HV Host Service","System.ServiceProcess.ServiceController[]",".","HvHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"icssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Mobile Hotspot Service","System.ServiceProcess.ServiceController[]",".","icssvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"IKEEXT","System.ServiceProcess.ServiceController[]","False","False","False","IKE and AuthIP IPsec Keying Modules","System.ServiceProcess.ServiceController[]",".","IKEEXT","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"InstallService","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Store Install Service","System.ServiceProcess.ServiceController[]",".","InstallService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"IntelAudioService","System.ServiceProcess.ServiceController[]","False","True","True","Intel(R) Audio Service","System.ServiceProcess.ServiceController[]",".","IntelAudioService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"InventorySvc","System.ServiceProcess.ServiceController[]","False","True","True","Inventory and Compatibility Appraisal service","System.ServiceProcess.ServiceController[]",".","InventorySvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"ipfsvc","System.ServiceProcess.ServiceController[]","True","False","True","Intel(R) Innovation Platform Framework Service","System.ServiceProcess.ServiceController[]",".","ipfsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"iphlpsvc","System.ServiceProcess.ServiceController[]","False","False","True","IP Helper","System.ServiceProcess.ServiceController[]",".","iphlpsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","False","False","False","IP Translation Configuration Service","System.ServiceProcess.ServiceController[]",".","IpxlatCfgSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"jhi_service","System.ServiceProcess.ServiceController[]","False","False","True","Intel(R) Dynamic Application Loader Host Interface Service","System.ServiceProcess.ServiceController[]",".","jhi_service","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"KeyIso","System.ServiceProcess.ServiceController[]","False","False","True","CNG Key Isolation","System.ServiceProcess.ServiceController[]",".","KeyIso","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"KtmRm","System.ServiceProcess.ServiceController[]","False","False","False","KtmRm for Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","KtmRm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LanmanServer","System.ServiceProcess.ServiceController[]","False","False","True","Server","System.ServiceProcess.ServiceController[]",".","LanmanServer","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","System.ServiceProcess.ServiceController[]","True","False","True","Workstation","System.ServiceProcess.ServiceController[]",".","LanmanWorkstation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"lfsvc","System.ServiceProcess.ServiceController[]","False","False","True","Geolocation Service","System.ServiceProcess.ServiceController[]",".","lfsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LicenseManager","System.ServiceProcess.ServiceController[]","False","False","True","Windows License Manager Service","System.ServiceProcess.ServiceController[]",".","LicenseManager","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"lltdsvc","System.ServiceProcess.ServiceController[]","False","False","False","Link-Layer Topology Discovery Mapper","System.ServiceProcess.ServiceController[]",".","lltdsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"lmhosts","System.ServiceProcess.ServiceController[]","False","False","True","TCP/IP NetBIOS Helper","System.ServiceProcess.ServiceController[]",".","lmhosts","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LocalKdc","System.ServiceProcess.ServiceController[]","False","False","False","Kerberos Local Key Distribution Center","System.ServiceProcess.ServiceController[]",".","LocalKdc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"LSM","System.ServiceProcess.ServiceController[]","False","False","False","Local Session Manager","System.ServiceProcess.ServiceController[]",".","LSM","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LxpSvc","System.ServiceProcess.ServiceController[]","False","False","False","Language Experience Service","System.ServiceProcess.ServiceController[]",".","LxpSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"MapsBroker","System.ServiceProcess.ServiceController[]","False","False","False","Downloaded Maps Manager","System.ServiceProcess.ServiceController[]",".","MapsBroker","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Automatic",,
"McmSvc","System.ServiceProcess.ServiceController[]","False","False","False","Mobile Connectivity Management Service","System.ServiceProcess.ServiceController[]",".","McmSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"McpManagementService","System.ServiceProcess.ServiceController[]","False","False","False","McpManagementService","System.ServiceProcess.ServiceController[]",".","McpManagementService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MDCoreSvc","System.ServiceProcess.ServiceController[]","False","True","True","Microsoft Defender Core Service","System.ServiceProcess.ServiceController[]",".","MDCoreSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Automatic",,
"MessagingService_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","False","MessagingService_cd5e6e","System.ServiceProcess.ServiceController[]",".","MessagingService_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","System.ServiceProcess.ServiceController[]",".","MicrosoftEdgeElevationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"midisrv","System.ServiceProcess.ServiceController[]","False","False","False","Windows MIDI Service","System.ServiceProcess.ServiceController[]",".","midisrv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"mpssvc","System.ServiceProcess.ServiceController[]","False","False","False","Windows Defender Firewall","System.ServiceProcess.ServiceController[]",".","mpssvc","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"MSDTC","System.ServiceProcess.ServiceController[]","False","True","True","Distributed Transaction Coordinator","System.ServiceProcess.ServiceController[]",".","MSDTC","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"MSiSCSI","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft iSCSI Initiator Service","System.ServiceProcess.ServiceController[]",".","MSiSCSI","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"msiserver","System.ServiceProcess.ServiceController[]","False","False","False","Windows Installer","System.ServiceProcess.ServiceController[]",".","msiserver","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"MsKeyboardFilter","System.ServiceProcess.ServiceController[]","False","False","False","Microsoft Keyboard Filter","System.ServiceProcess.ServiceController[]",".","MsKeyboardFilter","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"NaturalAuthentication","System.ServiceProcess.ServiceController[]","False","False","False","Natural Authentication","System.ServiceProcess.ServiceController[]",".","NaturalAuthentication","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"NcaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Network Connectivity Assistant","System.ServiceProcess.ServiceController[]",".","NcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"NcbService","System.ServiceProcess.ServiceController[]","False","False","True","Network Connection Broker","System.ServiceProcess.ServiceController[]",".","NcbService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NcdAutoSetup","System.ServiceProcess.ServiceController[]","False","False","False","Network Connected Devices Auto-Setup","System.ServiceProcess.ServiceController[]",".","NcdAutoSetup","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Netlogon","System.ServiceProcess.ServiceController[]","False","False","False","Netlogon","System.ServiceProcess.ServiceController[]",".","Netlogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Netman","System.ServiceProcess.ServiceController[]","False","False","False","Network Connections","System.ServiceProcess.ServiceController[]",".","Netman","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"netprofm","System.ServiceProcess.ServiceController[]","False","False","True","Network List Service","System.ServiceProcess.ServiceController[]",".","netprofm","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetSetupSvc","System.ServiceProcess.ServiceController[]","False","False","False","Network Setup Service","System.ServiceProcess.ServiceController[]",".","NetSetupSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"NetTcpPortSharing","System.ServiceProcess.ServiceController[]","False","False","False","Net.Tcp Port Sharing Service","System.ServiceProcess.ServiceController[]",".","NetTcpPortSharing","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"NgcCtnrSvc","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Passport Container","System.ServiceProcess.ServiceController[]",".","NgcCtnrSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcSvc","System.ServiceProcess.ServiceController[]","False","False","True","Microsoft Passport","System.ServiceProcess.ServiceController[]",".","NgcSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NlaSvc","System.ServiceProcess.ServiceController[]","False","False","False","Network Location Awareness","System.ServiceProcess.ServiceController[]",".","NlaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"NPSMSvc_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","True","Now Playing Session Manager Service_cd5e6e","System.ServiceProcess.ServiceController[]",".","NPSMSvc_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","240","Manual",,
"nsi","System.ServiceProcess.ServiceController[]","False","False","True","Network Store Interface Service","System.ServiceProcess.ServiceController[]",".","nsi","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"OneSyncSvc_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","True","Sync Host_cd5e6e","System.ServiceProcess.ServiceController[]",".","OneSyncSvc_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Automatic",,
"P9RdrService_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","False","P9RdrService_cd5e6e","System.ServiceProcess.ServiceController[]",".","P9RdrService_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"PcaSvc","System.ServiceProcess.ServiceController[]","False","True","True","Program Compatibility Assistant Service","System.ServiceProcess.ServiceController[]",".","PcaSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PeerDistSvc","System.ServiceProcess.ServiceController[]","False","False","False","BranchCache","System.ServiceProcess.ServiceController[]",".","PeerDistSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PenService_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","False","PenService_cd5e6e","System.ServiceProcess.ServiceController[]",".","PenService_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","224","Manual",,
"perceptionsimulation","System.ServiceProcess.ServiceController[]","False","False","False","Windows Perception Simulation Service","System.ServiceProcess.ServiceController[]",".","perceptionsimulation","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PerfHost","System.ServiceProcess.ServiceController[]","False","False","False","Performance Counter DLL Host","System.ServiceProcess.ServiceController[]",".","PerfHost","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"PhoneSvc","System.ServiceProcess.ServiceController[]","False","False","False","Phone Service","System.ServiceProcess.ServiceController[]",".","PhoneSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PimIndexMaintenanceSvc_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","True","Contact Data_cd5e6e","System.ServiceProcess.ServiceController[]",".","PimIndexMaintenanceSvc_cd5e6e","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","224","Manual",,
"pla","System.ServiceProcess.ServiceController[]","False","False","False","Performance Logs & Alerts","System.ServiceProcess.ServiceController[]",".","pla","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PlugPlay","System.ServiceProcess.ServiceController[]","False","True","True","Plug and Play","System.ServiceProcess.ServiceController[]",".","PlugPlay","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"PolicyAgent","System.ServiceProcess.ServiceController[]","False","False","False","IPsec Policy Agent","System.ServiceProcess.ServiceController[]",".","PolicyAgent","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"Power","System.ServiceProcess.ServiceController[]","False","False","False","Power","System.ServiceProcess.ServiceController[]",".","Power","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"PrintDeviceConfigurationService","System.ServiceProcess.ServiceController[]","False","False","False","Print Device Configuration Service","System.ServiceProcess.ServiceController[]",".","PrintDeviceConfigurationService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"PrintNotify","System.ServiceProcess.ServiceController[]","False","False","False","Printer Extensions and Notifications","System.ServiceProcess.ServiceController[]",".","PrintNotify","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess, InteractiveProcess","Manual",,
"PrintScanBrokerService","System.ServiceProcess.ServiceController[]","False","False","False","PrintScanBrokerService","System.ServiceProcess.ServiceController[]",".","PrintScanBrokerService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"PrintWorkflowUserSvc_cd5e6e","System.ServiceProcess.ServiceController[]","False","False","False","PrintWorkflow_cd5e6e","System.ServiceProcess.ServiceController[]",".","PrintWorkflowUserSvc_cd5e6e","System.ServiceProcess.ServiceController[]",,"Stopped","224","Manual",,
"ProfSvc","System.ServiceProcess.ServiceController[]","False","True","True","User Profile Service","System.ServiceProcess.ServiceController[]",".","ProfSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PushToInstall","System.ServiceProcess.ServiceController[]","False","False","False","Windows PushToInstall Service","System.ServiceProcess.ServiceController[]",".","PushToInstall","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"QWAVE","System.ServiceProcess.ServiceController[]","False","False","False","Quality Windows Audio Video Experience","System.ServiceProcess.ServiceController[]",".","QWAVE","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RasAuto","System.ServiceProcess.ServiceController[]","False","False","False","Remote Access Auto Connection Manager","System.ServiceProcess.ServiceController[]",".","RasAuto","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RasMan","System.ServiceProcess.ServiceController[]","False","True","True","Remote Access Connection Manager","System.ServiceProcess.ServiceController[]",".","RasMan","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Manual",,
"refsdedupsvc","System.ServiceProcess.ServiceController[]","False","False","False","ReFS Dedup Service","System.ServiceProcess.ServiceController[]",".","refsdedupsvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"RemoteAccess","System.ServiceProcess.ServiceController[]","False","False","False","Routing and Remote Access","System.ServiceProcess.ServiceController[]",".","RemoteAccess","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"RemoteRegistry","System.ServiceProcess.ServiceController[]","False","False","False","Remote Registry","System.ServiceProcess.ServiceController[]",".","RemoteRegistry","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Disabled",,
"RetailDemo","System.ServiceProcess.ServiceController[]","False","False","False","Retail Demo Service","System.ServiceProcess.ServiceController[]",".","RetailDemo","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"RmSvc","System.ServiceProcess.ServiceController[]","False","False","True","Radio Management Service","System.ServiceProcess.ServiceController[]",".","RmSvc","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"RpcEptMapper","System.ServiceProcess.ServiceController[]","False","False","False","RPC Endpoint Mapper","System.ServiceProcess.ServiceController[]",".","RpcEptMapper","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RpcLocator","System.ServiceProcess.ServiceController[]","False","False","False","Remote Procedure Call (RPC) Locator","System.ServiceProcess.ServiceController[]",".","RpcLocator","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"RpcSs","System.ServiceProcess.ServiceController[]","False","False","False","Remote Procedure Call (RPC)","System.ServiceProcess.ServiceController[]",".","RpcSs","System.ServiceProcess.ServiceController[]",,"Running","Win32ShareProcess","Automatic",,
"RstMwService","System.ServiceProcess.ServiceController[]","False","True","True","Intel(R) Storage Middleware Service","System.ServiceProcess.ServiceController[]",".","RstMwService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"RtkAudioUniversalService","System.ServiceProcess.ServiceController[]","False","True","True","Realtek Audio Universal Service","System.ServiceProcess.ServiceController[]",".","RtkAudioUniversalService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Automatic",,
"SamSs","System.ServiceProcess.ServiceController[]","False","False","False","Security Accounts Manager","System.ServiceProcess.ServiceController[]",".","SamSs","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32ShareProcess","Automatic",,
"SCardSvr","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card","System.ServiceProcess.ServiceController[]",".","SCardSvr","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"ScDeviceEnum","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card Device Enumeration Service","System.ServiceProcess.ServiceController[]",".","ScDeviceEnum","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"Schedule","System.ServiceProcess.ServiceController[]","False","True","True","Task Scheduler","System.ServiceProcess.ServiceController[]",".","Schedule","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SCPolicySvc","System.ServiceProcess.ServiceController[]","False","False","False","Smart Card Removal Policy","System.ServiceProcess.ServiceController[]",".","SCPolicySvc","System.ServiceProcess.ServiceController[]",,"Stopped","Win32ShareProcess","Manual",,
"SDRSVC","System.ServiceProcess.ServiceController[]","False","True","True","Windows Backup","System.ServiceProcess.ServiceController[]",".","SDRSVC","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess","Manual",,
"seclogon","System.ServiceProcess.ServiceController[]","False","False","False","Secondary Logon","System.ServiceProcess.ServiceController[]",".","seclogon","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"SecurityHealthService","System.ServiceProcess.ServiceController[]","False","False","False","Windows Security Service","System.ServiceProcess.ServiceController[]",".","SecurityHealthService","System.ServiceProcess.ServiceController[]",,"Running","Win32OwnProcess","Manual",,
"SEMgrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Payments and NFC/SE Manager","System.ServiceProcess.ServiceController[]",".","SEMgrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SENS","System.ServiceProcess.ServiceController[]","False","False","True","System Event Notification Service","System.ServiceProcess.ServiceController[]",".","SENS","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"Sense","System.ServiceProcess.ServiceController[]","False","False","False","Windows Defender Advanced Threat Protection Service","System.ServiceProcess.ServiceController[]",".","Sense","System.ServiceProcess.ServiceController[]",,"Stopped","Win32OwnProcess","Manual",,
"SensorDataService","System.ServiceProcess.ServiceController[]","False","False","False","Sensor Data Service","System.ServiceProcess.ServiceController[]",".","SensorDataService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess","Manual",,
"SensorService","System.ServiceProcess.ServiceController[]","False","False","True","Sensor Service","System.ServiceProcess.ServiceController[]",".","SensorService","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"SensrSvc","System.ServiceProcess.ServiceController[]","False","False","False","Sensor Monitoring Service","System.ServiceProcess.ServiceController[]",".","SensrSvc","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32OwnProcess, Win32ShareProcess","Manual",,
"SessionEnv","System.ServiceProcess.ServiceController[]","False","False","False","Remote Desktop Configuration","System.ServiceProcess.ServiceController[]",".","SessionEnv","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
"SharedAccess","System.ServiceProcess.ServiceController[]","False","False","False","Internet Connection Sharing (ICS)","System.ServiceProcess.ServiceController[]",".","SharedAccess","System.ServiceProcess.ServiceController[]","SafeServiceHandle","Stopped","Win32ShareProcess","Manual",,
